Width: 640
Height: 480
Fx: 390.8465270996094
Fy: 390.8465270996094
Cx: 323.46539306640625
Cy: 242.03125
Distortion Model: distortion.brown_conrady
Distortion Coefficients: [0.0, 0.0, 0.0, 0.0, 0.0]
Current mac address: 3c:6d:66:0d:5a:10
Current hardware id: 1422924317360
Extracting model data and initializing session...
Model extraction time: 5.500318 seconds
Prepare onnx session initialization, takes a while...
Model data and session initialized time: 8.307243 seconds
Inference time: 0.140661 seconds
Inference time: 0.233580 seconds
Inference time: 0.240386 seconds
Inference time: 0.139507 seconds
Inference time: 0.168806 seconds
Inference time: 0.198864 seconds
Inference time: 0.149770 seconds
Inference time: 0.136119 seconds
Inference time: 0.184055 seconds
Inference time: 0.188944 seconds
Inference time: 0.181202 seconds
Inference time: 0.122961 seconds
Inference time: 0.161155 seconds
Inference time: 0.204351 seconds
Inference time: 0.134748 seconds
Inference time: 0.145306 seconds
Inference time: 0.189792 seconds
Inference time: 0.188394 seconds
Inference time: 0.173142 seconds
Inference time: 0.118675 seconds
Inference time: 0.177462 seconds
Inference time: 0.190173 seconds
Inference time: 0.161786 seconds
Inference time: 0.137156 seconds
Inference time: 0.174035 seconds
Inference time: 0.190434 seconds
Inference time: 0.168704 seconds
Inference time: 0.126877 seconds
Inference time: 0.166757 seconds
Inference time: 0.186062 seconds
Inference time: 0.171178 seconds
Inference time: 0.126467 seconds
Inference time: 0.165135 seconds
Inference time: 0.188857 seconds
Inference time: 0.162516 seconds
Inference time: 0.134641 seconds
Inference time: 0.163080 seconds
Inference time: 0.187171 seconds
Inference time: 0.171792 seconds
Inference time: 0.127789 seconds
Inference time: 0.174487 seconds
Inference time: 0.202801 seconds
Inference time: 0.141522 seconds
Inference time: 0.137487 seconds
Inference time: 0.190812 seconds
Inference time: 0.135102 seconds
Inference time: 0.147448 seconds
Inference time: 0.188812 seconds
Inference time: 0.190676 seconds
Inference time: 0.174500 seconds
Inference time: 0.124961 seconds
Inference time: 0.174468 seconds
Inference time: 0.196282 seconds
Inference time: 0.187016 seconds
Inference time: 0.140578 seconds
Inference time: 0.149155 seconds
Inference time: 0.197333 seconds
Inference time: 0.150877 seconds
Inference time: 0.136419 seconds
Inference time: 0.180874 seconds
Inference time: 0.183251 seconds
Inference time: 0.148883 seconds
Inference time: 0.137205 seconds
Inference time: 0.179443 seconds
Inference time: 0.195257 seconds
Inference time: 0.179126 seconds
Inference time: 0.163967 seconds
Inference time: 0.129653 seconds
Inference time: 0.176911 seconds
Inference time: 0.200455 seconds
Inference time: 0.175439 seconds
Inference time: 0.118283 seconds
Inference time: 0.166345 seconds
Inference time: 0.198419 seconds
Inference time: 0.184200 seconds
Inference time: 0.149242 seconds
Inference time: 0.140221 seconds
Inference time: 0.193018 seconds
Inference time: 0.193937 seconds
Inference time: 0.177353 seconds
Inference time: 0.147321 seconds
Inference time: 0.166369 seconds
Inference time: 0.194189 seconds
Inference time: 0.176238 seconds
Inference time: 0.109519 seconds
Inference time: 0.176618 seconds
Inference time: 0.181841 seconds
Inference time: 0.154281 seconds
Inference time: 0.139562 seconds
Inference time: 0.174701 seconds
Inference time: 0.169723 seconds
Inference time: 0.132768 seconds
Inference time: 0.164393 seconds
Inference time: 0.186271 seconds
Inference time: 0.185044 seconds
Inference time: 0.159806 seconds
Inference time: 0.128639 seconds
Inference time: 0.187232 seconds
Inference time: 0.195301 seconds
Inference time: 0.194668 seconds
Inference time: 0.158541 seconds
Inference time: 0.136896 seconds
Inference time: 0.181614 seconds
Inference time: 0.185863 seconds
Inference time: 0.161916 seconds
Inference time: 0.133363 seconds
Inference time: 0.178187 seconds
Inference time: 0.183579 seconds
Inference time: 0.171912 seconds
Inference time: 0.125159 seconds
Inference time: 0.175152 seconds
Inference time: 0.198041 seconds
Inference time: 0.175581 seconds
Inference time: 0.182153 seconds
Inference time: 0.183110 seconds
Inference time: 0.115029 seconds
Inference time: 0.175263 seconds
Inference time: 0.179796 seconds
Inference time: 0.155184 seconds
Inference time: 0.141505 seconds
Inference time: 0.180968 seconds
Inference time: 0.191586 seconds
Inference time: 0.171572 seconds
Inference time: 0.116173 seconds
Inference time: 0.174213 seconds
Inference time: 0.189519 seconds
Inference time: 0.175582 seconds
Inference time: 0.141160 seconds
Inference time: 0.164195 seconds
Inference time: 0.197497 seconds
Inference time: 0.139961 seconds
Inference time: 0.153214 seconds
Inference time: 0.174555 seconds
Inference time: 0.176204 seconds
Inference time: 0.152079 seconds
Inference time: 0.135903 seconds
Inference time: 0.184436 seconds
Inference time: 0.195404 seconds
Inference time: 0.179010 seconds
Inference time: 0.112701 seconds
Inference time: 0.172707 seconds
Inference time: 0.183211 seconds
Inference time: 0.178477 seconds
Inference time: 0.115620 seconds
Inference time: 0.178035 seconds
Inference time: 0.195344 seconds
Inference time: 0.168694 seconds
Inference time: 0.141716 seconds
Inference time: 0.162178 seconds
Inference time: 0.196076 seconds
Inference time: 0.152910 seconds
Inference time: 0.171620 seconds
Inference time: 0.148597 seconds
Inference time: 0.194018 seconds
Inference time: 0.140772 seconds
Inference time: 0.142329 seconds
Inference time: 0.176229 seconds
Inference time: 0.193639 seconds
Inference time: 0.167381 seconds
Inference time: 0.122520 seconds
Inference time: 0.176785 seconds
Inference time: 0.182027 seconds
Inference time: 0.159022 seconds
Inference time: 0.131293 seconds
Inference time: 0.178096 seconds
Inference time: 0.200299 seconds
Inference time: 0.177439 seconds
Inference time: 0.125227 seconds
Inference time: 0.173204 seconds
Inference time: 0.197949 seconds
Inference time: 0.148329 seconds
Inference time: 0.144649 seconds
Inference time: 0.168238 seconds
Inference time: 0.178669 seconds
Inference time: 0.153717 seconds
Inference time: 0.201648 seconds
Inference time: 0.167268 seconds
Inference time: 0.134806 seconds
Inference time: 0.170187 seconds
Inference time: 0.187210 seconds
Inference time: 0.194505 seconds
Inference time: 0.159022 seconds
Inference time: 0.141405 seconds
Inference time: 0.199158 seconds
Inference time: 0.173407 seconds
Inference time: 0.132809 seconds
Inference time: 0.181393 seconds
Inference time: 0.172548 seconds
Inference time: 0.154952 seconds
Inference time: 0.183783 seconds
Inference time: 0.218043 seconds
Inference time: 0.792512 seconds
