Width: 640
Height: 480
Fx: 390.8465270996094
Fy: 390.8465270996094
Cx: 323.46539306640625
Cy: 241.993408203125
Distortion Model: distortion.brown_conrady
Distortion Coefficients: [0.0, 0.0, 0.0, 0.0, 0.0]
Current mac address: 3c:6d:66:0d:5a:10
Current hardware id: 1422924317360
Extracting model data and initializing session...
Model extraction time: 5.163861 seconds
Prepare onnx session initialization, takes a while...
Model data and session initialized time: 6.608860 seconds
Inference time: 0.085239 seconds
Inference time: 0.168995 seconds
Inference time: 0.129795 seconds
Inference time: 0.201715 seconds
Inference time: 0.089171 seconds
Inference time: 0.101102 seconds
Inference time: 0.152738 seconds
Inference time: 0.089650 seconds
Inference time: 0.124318 seconds
Inference time: 0.089034 seconds
Inference time: 0.088537 seconds
Inference time: 0.165869 seconds
Inference time: 0.088336 seconds
Inference time: 0.088407 seconds
Inference time: 0.169292 seconds
Inference time: 0.088880 seconds
Inference time: 0.089131 seconds
Inference time: 0.203004 seconds
Inference time: 0.089355 seconds
Inference time: 0.100313 seconds
Inference time: 0.151346 seconds
Inference time: 0.090592 seconds
Inference time: 0.124926 seconds
Inference time: 0.089938 seconds
Inference time: 0.090786 seconds
Inference time: 0.165502 seconds
Inference time: 0.088513 seconds
Inference time: 0.085144 seconds
Inference time: 0.200824 seconds
Inference time: 0.087937 seconds
Inference time: 0.087210 seconds
Inference time: 0.204068 seconds
Inference time: 0.096113 seconds
Inference time: 0.099772 seconds
Inference time: 0.156980 seconds
Inference time: 0.089220 seconds
Inference time: 0.126763 seconds
Inference time: 0.089596 seconds
Inference time: 0.090187 seconds
Inference time: 0.170374 seconds
Inference time: 0.089159 seconds
Inference time: 0.087738 seconds
Inference time: 0.192672 seconds
Inference time: 0.088687 seconds
Inference time: 0.132259 seconds
Inference time: 0.090110 seconds
Inference time: 0.089106 seconds
Inference time: 0.167896 seconds
Inference time: 0.088542 seconds
Inference time: 0.088309 seconds
Inference time: 0.203859 seconds
Inference time: 0.089397 seconds
Inference time: 0.101800 seconds
Inference time: 0.145639 seconds
Inference time: 0.096153 seconds
Inference time: 0.127094 seconds
Inference time: 0.089770 seconds
Inference time: 0.089022 seconds
Inference time: 0.174871 seconds
Inference time: 0.089226 seconds
Inference time: 0.090007 seconds
Inference time: 0.194777 seconds
Inference time: 0.092637 seconds
Inference time: 0.103172 seconds
Inference time: 0.147150 seconds
Inference time: 0.089000 seconds
Inference time: 0.133351 seconds
Inference time: 0.140891 seconds
Inference time: 0.091433 seconds
Inference time: 0.130476 seconds
Inference time: 0.108852 seconds
Inference time: 0.088681 seconds
Inference time: 0.174199 seconds
Inference time: 0.090074 seconds
Inference time: 0.089041 seconds
Inference time: 0.198710 seconds
Inference time: 0.087846 seconds
Inference time: 0.103858 seconds
Inference time: 0.160527 seconds
Inference time: 0.088786 seconds
Inference time: 0.137112 seconds
Inference time: 0.150316 seconds
Inference time: 0.092175 seconds
Inference time: 0.132137 seconds
Inference time: 0.088439 seconds
Inference time: 0.089448 seconds
Inference time: 0.178839 seconds
Inference time: 0.088589 seconds
Inference time: 0.093215 seconds
Inference time: 0.199878 seconds
Inference time: 0.091224 seconds
Inference time: 0.091455 seconds
Inference time: 0.194148 seconds
Inference time: 0.089027 seconds
Inference time: 0.101344 seconds
Inference time: 0.119315 seconds
Inference time: 0.088712 seconds
Inference time: 0.136070 seconds
Inference time: 0.153425 seconds
Inference time: 0.089099 seconds
Inference time: 0.131444 seconds
Inference time: 0.090087 seconds
Inference time: 0.095047 seconds
Inference time: 0.177498 seconds
Inference time: 0.088968 seconds
Inference time: 0.089257 seconds
Inference time: 0.199779 seconds
Inference time: 0.088227 seconds
Inference time: 0.086480 seconds
Inference time: 0.194637 seconds
Inference time: 0.087880 seconds
Inference time: 0.101315 seconds
Inference time: 0.137350 seconds
Inference time: 0.088139 seconds
Inference time: 0.144675 seconds
Inference time: 0.088562 seconds
Inference time: 0.088500 seconds
Inference time: 0.170556 seconds
Inference time: 0.088515 seconds
Inference time: 0.088959 seconds
Inference time: 0.191189 seconds
Inference time: 0.088337 seconds
Inference time: 0.106264 seconds
Inference time: 0.138164 seconds
Inference time: 0.089254 seconds
Inference time: 0.137402 seconds
Inference time: 0.142690 seconds
Inference time: 0.088128 seconds
Inference time: 0.135065 seconds
Inference time: 0.146704 seconds
Inference time: 0.087806 seconds
Inference time: 0.130962 seconds
Inference time: 0.088063 seconds
Inference time: 0.087882 seconds
Inference time: 0.178476 seconds
Inference time: 0.090346 seconds
Inference time: 0.090071 seconds
Inference time: 0.187387 seconds
Inference time: 0.087852 seconds
Inference time: 0.101374 seconds
Inference time: 0.133383 seconds
Inference time: 0.090036 seconds
Inference time: 0.144207 seconds
Inference time: 0.089317 seconds
Inference time: 0.088034 seconds
Inference time: 0.177669 seconds
Inference time: 0.089212 seconds
Inference time: 0.089742 seconds
Inference time: 0.197265 seconds
Inference time: 0.088617 seconds
Inference time: 0.100949 seconds
Inference time: 0.132943 seconds
Inference time: 0.088824 seconds
Inference time: 0.139214 seconds
Inference time: 0.142405 seconds
Inference time: 0.089242 seconds
Inference time: 0.140864 seconds
Inference time: 0.088053 seconds
Inference time: 0.087133 seconds
Inference time: 0.184204 seconds
Inference time: 0.088949 seconds
Inference time: 0.087842 seconds
Inference time: 0.184322 seconds
Inference time: 0.089332 seconds
Inference time: 0.102656 seconds
Inference time: 0.141734 seconds
Inference time: 0.091326 seconds
Inference time: 0.140388 seconds
Inference time: 0.089211 seconds
Inference time: 0.087969 seconds
Inference time: 0.180161 seconds
Inference time: 0.088660 seconds
Inference time: 0.088308 seconds
Inference time: 0.186667 seconds
Inference time: 0.088881 seconds
Inference time: 0.103276 seconds
Inference time: 0.140846 seconds
Inference time: 0.088687 seconds
Inference time: 0.145856 seconds
Inference time: 0.090648 seconds
Inference time: 0.089330 seconds
Inference time: 0.179176 seconds
Inference time: 0.088047 seconds
Inference time: 0.091363 seconds
Inference time: 0.180972 seconds
Inference time: 0.087657 seconds
Inference time: 0.102977 seconds
Inference time: 0.088711 seconds
Inference time: 0.140080 seconds
Inference time: 0.139441 seconds
Inference time: 0.098579 seconds
Inference time: 0.149140 seconds
Inference time: 0.127933 seconds
Inference time: 0.115051 seconds
Inference time: 0.195518 seconds
Inference time: 0.088426 seconds
Inference time: 0.091831 seconds
Inference time: 0.186325 seconds
Inference time: 0.088266 seconds
Inference time: 0.110245 seconds
Inference time: 0.136096 seconds
Inference time: 0.082320 seconds
Failed to capture video frame
